what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1361859915894
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1361859915894
opened,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361859915963
started,bundle,org.jboss.tools.jst.jsp,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.jsp",1361859915969
started,bundle,org.jboss.tools.common.text.ext,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.text.ext",1361859915974
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361859915987
activated,view,org.eclipse.team.svn.ui,0.7.9.I20110419-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1361859916666
started,bundle,org.guvnor.tools,5.2.0.Final,"org.guvnor.tools",1361859917264
started,bundle,org.teiid.core.designer,7.4.1.v20110801-0937-H589-Final,"org.teiid.core.designer",1361859917294
started,bundle,org.teiid.designer.ui.common,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.ui.common",1361859917294
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1361859917304
started,bundle,org.eclipse.emf.ecore.edit,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.edit",1361859917321
started,bundle,org.teiid.designer.metamodels.core,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.core",1361859917321
started,bundle,org.teiid.designer.legacy,1.0.0.v20110801-0937-H589-Final,"org.teiid.designer.legacy",1361859917978
started,bundle,org.teiid.designer.metamodels.wsdl,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.wsdl",1361859917990
started,bundle,org.teiid.designer.metamodels.xsd,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.xsd",1361859917996
started,bundle,org.teiid.designer.sdt,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.sdt",1361859918074
started,bundle,org.eclipse.emf.mapping,2.6.0.v20100914-1218,"org.eclipse.emf.mapping",1361859918078
started,bundle,org.teiid.designer.metamodels.transformation,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.transformation",1361859918080
started,bundle,org.teiid.designer.metamodels.diagram,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.diagram",1361859918086
started,bundle,org.teiid.designer.metamodels.relational,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.relational",1361859918245
started,bundle,org.teiid.designer.metamodels.relationship,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.relationship",1361859918326
started,bundle,org.eclipse.uml2.uml,3.1.2.v201010261927,"org.eclipse.uml2.uml",1361859918732
started,bundle,org.eclipse.emf.ecore.change,2.5.1.v20100907-1643,"org.eclipse.emf.ecore.change",1361859919351
started,bundle,org.eclipse.uml2.common,1.5.0.v201005031530,"org.eclipse.uml2.common",1361859919369
started,bundle,org.teiid.designer.jdbc,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.jdbc",1361859919447
started,bundle,org.teiid.designer.metamodels.function,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.function",1361859919480
started,bundle,org.teiid.designer.compare,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.compare",1361859919480
started,bundle,org.teiid.designer.metamodels.dependency,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.dependency",1361859919480
started,bundle,org.teiid.designer.metamodels.xml,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.xml",1361859919481
started,bundle,org.teiid.designer.metamodels.webservice,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.webservice",1361859919493
started,bundle,org.teiid.designer.metamodels.xmlservice,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.xmlservice",1361859919501
started,bundle,org.teiid.designer.xsd,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.xsd",1361859919511
started,bundle,org.eclipse.uml2.uml.edit,3.1.0.v201005031530,"org.eclipse.uml2.uml.edit",1361859919527
